Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
47.0,64.40777467439278,6.058996968640687,5.2040018088179,3.9101502578304994,65.5800134507155,5.008997917870345,3.9003922855012023,3.261167701025048,50.182770792790784
48.0,67.59433539577931,5.917135250811156,4.104932475738556,4.005466398169029,70.84468014686553,5.545860501669856,4.5048472460075075,3.7999554763743615,40.9276090611958
49.0,67.77189167688644,5.9154443891408235,4.031177902759902,4.014775795789021,70.85755159329409,5.532858373191337,4.5143515720481,3.76677259303796,39.58597149385994
50.0,69.62974933725289,5.798912311634001,4.41063254683069,4.04462087303424,71.82091287296396,5.711831928010622,5.078732213515842,3.8939570698058605,38.136229377107696
51.0,64.38614300148896,6.245716986811694,4.477985519830048,4.02615640394523,67.2077576050543,5.536112341677037,4.866805600543558,3.606349515230445,37.66558630563347
52.0,68.67125247745444,6.183915114774561,4.631157428552775,4.251800090589399,72.58331704513034,5.488083179913683,5.066682775506734,3.8624360830645252,39.75167405457464
53.0,69.4973990491666,6.29373146227142,4.658999247295107,4.38028630040928,72.94425485335337,5.553806402897708,5.462157978106051,3.9203027626207314,38.95820228728356
54.0,70.16964041868131,6.357563231294816,4.820144946670514,4.468088076894917,73.13691196605714,5.628519811612218,5.749442037216357,3.9728105668078455,38.60765833644601
55.0,71.37160923680824,6.35718028052199,4.685879982394245,4.54460221622768,73.49542879959871,5.698979426636043,5.445769058592377,4.0318244397803165,38.63655792430694
56.0,73.94567594341483,5.422709135063379,4.320029081908763,4.014933245670503,70.68251286763706,5.161226713266816,5.1265328434069755,3.5482627121426935,42.79330529172057
57.0,74.31139072077798,5.403883977950841,4.382054896864103,4.0208908536819745,71.821698295425,5.204203801158746,5.22760227885613,3.5649704460936382,42.3352533073091
58.0,70.17817786480926,5.192475319937014,4.269868246433966,3.6489303550780545,71.1160964695691,5.184090628087264,5.189189497254809,3.55522103638365,42.70734678686395
59.0,75.772573353088,5.2428816055975584,4.3164394796739325,3.978613813739404,71.87910954293376,5.394488562217527,5.241136919973368,3.6925673702119903,43.19166148483898
60.0,76.63052122527976,5.328051117469161,4.405482911176844,4.0891072246563755,71.96779179691559,5.532629894269088,5.262456259593283,3.7944821726369753,43.27188552815506
61.0,76.32065024594819,5.538307169880087,4.482949246096445,4.233354986293663,70.65737228411066,6.07315968178661,5.814960108005038,4.0747404361531006,45.3664213351455
62.0,74.23537124786421,6.143717000557966,4.907537874142717,4.56822093982751,70.65327870450776,6.782690423024748,6.098776810885394,4.451871740202196,42.78288759892928
