Time (Ma),Global mid-ocean ridge lengths (km),Mean global ridge velocities (cm/yr),Global ridge velocity standard deviation (cm/yr),Surface area of crust produced at ridges (km^2/yr),Global subduction zone lengths (km),Mean global subduction velocities (cm/yr),Global subduction velocity standard deviation (cm/yr),Surface area of crust subducted at trenches (km^2/yr),Global transform boundary lengths (km)
209.0,34559.827638582756,9.070459869687294,3.0790026367244345,3.138162882192752,69352.22031843678,4.843367513497382,3.7805795697655995,3.358263362565523,10296.926046694503
208.0,34606.67113718015,9.05748884161062,3.0890635605648176,3.13791490254602,69233.87921941809,4.848648921698035,3.79188404268549,3.3561792927157654,10309.624962763935
207.0,34658.21772839568,9.04412827729167,3.0979336833715165,3.137944446327826,69114.68941238297,4.85611363072252,3.8039552715550515,3.355550957461918,10322.377115043655
206.0,34719.34255806175,9.030038568000466,3.107785580884394,3.1385720531231267,69000.93278391923,4.863018402197486,3.8166144819287346,3.3547835378959223,10335.181877246872
205.0,34782.247010889245,9.016109974294926,3.118094342364419,3.139397929530957,68884.40577555844,4.869500612706485,3.8278639033889994,3.35357572214115,10348.038636342735
204.0,34844.63807277768,9.002050159486917,3.1281576195357115,3.1401127466969188,68736.22178247193,4.8680642193593435,3.863729933276111,3.345369020822117,10352.53985347602
203.0,34909.06098966132,8.986450916814302,3.139065801229974,3.1404535752567355,68585.81817561852,4.867948295876827,3.8709812163043735,3.3379644122293217,10355.239260071738
202.0,34975.664079998605,8.970429134453871,3.1494071984578227,3.140820776011473,68418.01241352018,4.871578525400128,3.8779070923601786,3.3322751658725682,10358.020813560579
201.0,35044.60294431383,8.955539674637908,3.1602759145798363,3.1417718794428344,68246.54864526258,4.8716712620794995,3.882954264580723,3.323982145200818,10367.893854782777
200.0,35874.699698212804,8.897883742340959,3.182646464557802,3.195239023548929,65707.02886438844,5.068708432305254,3.665456927421356,3.330136681112564,7695.827622749666
199.0,36074.021366742796,7.844801458636392,3.6030542079388974,2.8328368757041638,65685.0760300646,3.9444188425186404,2.7018378659600226,2.590603885278959,10589.689975156996
198.0,35992.00943540892,7.845622188546208,3.604059982533366,2.8267036824536427,65575.40041157161,3.9529244613344003,2.6955550145352674,2.59184528074513,10588.217572499754
197.0,35895.07800089463,7.851601529137389,3.605106195440113,2.8212532535291666,65483.42557343886,3.960363253361579,2.6919261169335873,2.593069658652884,10560.911168111428
196.0,35839.81842491182,7.8485646535230345,3.6088334903305075,2.81582981993564,65316.89608845778,3.9721015212480575,2.6879015110090543,2.59412937729557,10533.857831440577
195.0,33445.57150261606,8.136956838363803,3.5520972439618554,2.7246197177506724,65095.37235408562,3.993890994740956,2.694690190698423,2.59949913136773,12923.229104453472
194.0,33442.01648044443,8.13422266140501,3.5523625917960926,2.7234229581974043,64946.55541980207,4.004789350907933,2.6916995535164285,2.600620361837203,12885.310602179146
193.0,33439.621031527626,8.129894086164159,3.5559570089844263,2.7217869703406143,64793.42136640953,4.017874170108041,2.6929751618559914,2.602952039679172,12847.741537689826
192.0,33434.017379764344,8.126866535451125,3.5583830743382348,2.7203256830399787,64642.89142630628,4.0288346203279435,2.693846329313986,2.603975923062788,12847.592134232975
191.0,33512.276877686076,8.11473105266915,3.5621834221405235,2.7226088629508696,64535.24568370949,4.051557036402338,2.704657026160883,2.6142924163614767,12725.254881828247
190.0,35840.21404116536,7.26912491346482,4.11578160829134,2.6081182416442044,61122.00151229216,4.502405635700581,3.2181906341555226,2.567021529552743,13018.186331678318
189.0,34940.17896520469,7.565179522472459,4.008623057334397,2.646121940955212,60255.37462739568,4.629292955211876,2.758344294606838,2.6698725045325755,12155.89399554486
188.0,35171.051773240775,7.526673800820285,3.9602476596139975,2.650064480882423,60169.46875609811,4.636479516722967,2.7608327247014928,2.6723794307516284,12227.37885185646
187.0,35402.035866573344,7.486131733807528,3.914386630752203,2.653114952312493,62823.95718618554,4.594960960302691,2.7542834440238093,2.6934726007920604,12299.166776006841
186.0,33377.70626559741,7.720922189999241,3.8351824803008405,2.5801454945333258,62798.97271307129,4.595369034044051,2.7539400728375774,2.6939662282928922,14624.855957789381
185.0,33649.593171376204,7.67567070436799,3.7859043771779626,2.5859182183489757,62790.40855794274,4.594595166772724,2.7519294888168107,2.6923091520984337,14650.179289287147
184.0,36099.12193646162,7.2544943333724285,3.9181656367727737,2.6220402901266815,63592.52439933465,4.639812850591756,2.7219637835374675,2.6875156809947147,14729.47070466024
183.0,36386.83876742007,7.20924368830155,3.873905244001088,2.626450420917645,63567.559194837835,4.637678946926073,2.7154400433607204,2.6862169449696673,14763.160702320743
182.0,34439.87681431753,7.543768346213679,3.6436196819032243,2.601166904845363,62681.93195404867,4.591417902350645,2.714732319144255,2.6919774032519825,14730.862694433494
181.0,34748.01930200969,7.4956921053820125,3.60137537453181,2.6077163050427874,62681.814075394315,4.588366624626951,2.7104086923368245,2.691585805444594,14742.135758581544
180.0,44796.24435131023,7.345671913469962,4.095631651236275,3.294694465448603,59628.97206354096,5.334352127178456,3.2018972332850595,3.180595181954828,8017.215592223106
179.0,45158.57857970161,8.109392588119139,4.334195569863632,3.6666630037594197,59561.50436808098,6.3062964529198045,3.19688229014129,3.7558534717782734,7952.892940880809
178.0,45529.39299903337,8.053634603113666,4.290915401365218,3.671356413285653,59492.55617378929,6.316242436081475,3.1920165324986156,3.7574159598469405,7888.792584524523
177.0,45902.707286894976,8.001803555595766,4.247273791966589,3.6776402702998805,59421.71996712361,6.327044158650256,3.1877019293442004,3.7593540648102053,7824.914435702177
176.0,46359.709679616404,8.003801611936016,4.234644777653646,3.7151861212439665,59396.37119127059,6.692300225497144,3.494656676137548,3.9746796966383586,7761.258427980446
175.0,46730.059142666876,7.954194213992121,4.192649747350667,3.7216572014879485,59395.38807247636,6.6936652424752054,3.494492762876436,3.9754242085751357,7697.824516026359
174.0,47955.71443611046,7.864591359445485,4.1750438008670425,3.776274705742162,59393.77620163656,6.66290844042904,3.472342021888429,3.9570502028288916,7360.477033444288
173.0,47851.358989752705,7.717393449537146,4.0361837579112985,3.697528354057932,59394.40153979728,6.6615348112872805,3.4736430521633115,3.956275661760898,7299.757672279472
172.0,48206.81631256004,7.672222035740854,3.999486517036672,3.703192849542572,59396.60517493983,6.656582070594929,3.4751430604935343,3.9534811374302534,7217.217460325218
171.0,48557.465321378055,7.64004807213552,3.974444892939119,3.7144872957266393,59406.2465530184,6.649656065054236,3.478420786647811,3.950010356644768,7128.294513192862
170.0,50003.463316058,7.4512437402459115,4.036336819623425,3.7305571336077805,60300.665882228874,6.555274557122038,3.5374944275677076,3.95272457838469,7439.954461820687
169.0,50287.03199896902,7.426341107871354,4.0076075156232775,3.739214432209289,60324.379286520234,6.5604060959010795,3.7542950490655977,3.957375420608624,7432.681043954507
168.0,48123.965405507784,7.7167321857132976,4.194452925140247,3.7184002400634992,63904.50493313238,6.185282509362292,3.8816184141605166,3.826917757872198,11681.005154989794
167.0,49727.138999683906,6.786824188099755,3.6978083113131315,3.378969044206408,63760.57775707519,5.634750930279817,3.308606856088257,3.4787851390222033,10403.19123297789
166.0,48826.61438840324,6.891826205194352,3.5938722319213117,3.369403484914892,60395.70244344737,5.884995760089599,3.183194945343902,3.554118897705471,9851.586132695102
165.0,47911.26625420729,6.997820094321407,3.4883404744230653,3.3571578491031198,60347.532943803846,5.881237439670317,3.1751569511108606,3.549011866123904,9939.448317887916
164.0,47019.862358074446,6.821667273049166,3.0183906969820224,3.211769035902466,60324.92464559649,5.677828941917784,3.0240780815225285,3.4241971795644903,10763.435787287379
163.0,47027.82877523335,6.690974353214906,2.9723691174703855,3.150794826626684,60333.2052716314,5.59094362853838,3.116787182843783,3.373055565219477,10969.152183290962
162.0,47272.07841036984,6.661555823844714,2.928391760420937,3.1532525694880125,60360.4261908767,5.5873134531446516,3.114634783205077,3.3724031317397554,10935.50918733495
161.0,47539.20963998926,6.633847114635728,2.889786595314127,3.1578991184195373,60389.020355470915,5.580655676499787,3.1127679434245232,3.369997721373831,10892.88757532046
160.0,48019.08377187658,6.610180409299081,2.8575308367173524,3.178433472756311,67095.82915506282,5.0553601551614005,3.363914829103295,3.378832013460039,9503.232810403544
159.0,46642.46706472354,7.569983295210629,3.7133800457412653,3.535521079682134,67026.46790145482,5.519878462539198,4.371165495983802,3.685583717309183,11055.181759131492
158.0,47013.38278578481,7.542524479324668,3.697554416480917,3.5507271404127523,66906.57607391843,5.444796549057485,4.366116051657079,3.62902607597646,10944.963640620554
157.0,47345.103136264275,7.422795041201111,3.7887944009534174,3.519030807628425,66815.28133736139,5.509155218674438,4.391133926456198,3.666994508443907,10874.741609199673
156.0,44790.5779103205,6.84051720301116,3.290403611937792,3.0678703017047706,67156.50506846893,5.604846125581363,4.3822675723708056,3.7499538574827675,13657.645355078404
155.0,51994.25699159131,6.1321106529303435,3.0784215290611856,3.1917282219216236,67000.52851268076,5.028211019211408,3.1526432853925836,3.335286202946429,14961.969049589616
154.0,57206.53320161924,5.632792372509437,3.062718640772988,3.2256722720886697,66968.99182726534,5.14824330286952,3.271488271106736,3.4140724917941254,19368.056827634904
153.0,61613.7435401433,7.337834641844606,4.234646603587267,4.526219277133723,66870.41460081034,7.149705087704308,4.251631918254847,4.736205834903524,19202.852926901007
152.0,62170.18088394248,7.420666794558359,4.071556879131759,4.618593297477719,66773.39954964876,7.353970434104617,4.3320041956323205,4.866259041251077,18945.55735776162
151.0,62615.305091107795,7.3676671538865355,4.022737414166231,4.618404692940367,66712.89127563534,7.337394206765045,4.2955660310740305,4.852642285398099,18791.942684023343
150.0,64374.467744146,7.303090358095354,4.028783213898043,4.706450637395561,66255.58620558283,7.217563056993556,4.278282910532489,4.673703684167159,22751.803255086947
149.0,61909.35669488055,7.584846791216476,3.8617817260613045,4.700671650880418,66468.4467312268,7.298178718874589,5.696665690353412,4.741095909122952,25649.84359617093
148.0,60079.541567539505,7.853517103244136,3.6544399735024276,4.723279916658849,66451.12933999223,7.23521715141199,5.772937902097845,4.691695003843575,27527.340925827964
147.0,61855.77190409694,8.010361510513786,3.708660538110455,4.959982302368256,66437.66441086122,7.199608147268315,5.785367051139956,4.669033089005132,27395.174931646194
146.0,60388.07911661257,7.8276738530281555,3.849928397616294,4.732119134165221,66483.65531903153,6.907561001748142,5.26162006921738,4.484145282297228,30953.65335473612
145.0,66843.63092547435,7.325821581281305,4.035347657382093,4.901762513435817,66897.1921761296,6.078924438793847,4.892315473938956,4.064415262001832,29358.659906149354
144.0,73281.62023908962,6.868022911394574,4.273750158497587,5.037741166459395,66840.85809781405,7.614396273315688,5.805657885926636,5.088575326218362,29470.983571047655
143.0,73962.44774211361,6.8129901387687495,4.264574017901078,5.043665774605532,67079.58009322864,7.563611960072949,5.770421796109926,5.072736144365393,28884.740115628785
142.0,74536.921001962,6.908623513577037,4.133766883698257,5.153919576034828,66580.15340375139,7.825647483994417,5.687193707891486,5.1845756536591505,30908.340363678846
141.0,74355.06614237386,6.931685754513801,4.138452133937809,5.158555119699968,67356.57278690906,7.859471900996461,5.7535033832406866,5.251392767683577,31278.356099317072
140.0,76280.47195673545,6.8282639843354245,4.1921779172727245,5.213386970283037,62815.45680465899,7.693457217987609,5.19800683555095,4.757335235171927,33837.65422979142
139.0,77736.08848400133,6.542406547557557,4.214376091613272,5.090341130735679,63733.882688864636,7.729538984891527,4.4566823943626455,4.856596026722715,33122.43364631132
138.0,79041.86906477984,6.431762400252587,4.208099715370162,5.0882215881549655,63729.70662539749,7.84597949840707,4.50470807185078,4.925020898775556,35412.35743698054
137.0,72837.25936112941,7.971595284179809,6.065924487515371,5.811639781867873,62434.90264798386,9.50487575663683,6.35992068541509,5.932619462264305,41821.45634539746
136.0,70820.72460687718,8.166568193124473,6.467953975313267,5.788785074367356,62463.79502666931,9.567160799317248,6.484608854853059,5.974249914957461,42050.29074934693
135.0,71012.63829856356,8.098338173949003,6.413658671826473,5.756021674238055,65297.364366535054,9.25929920218617,6.4953199092178995,5.805058261667578,43422.872387316995
