Time (Ma),Global average plate velocities (cm/yr),Standard deviation of global average plate velocities (cm/yr)
187.0,1.3391129338372305,1.4723429295885417
186.0,1.339336130485529,1.4719740087420274
185.0,1.3396313819353964,1.471932613417597
184.0,1.3132348954974433,1.4720626508730918
183.0,1.3136688979488578,1.4726457583931505
182.0,1.3141688271961507,1.4735645311986993
181.0,1.3147310910694414,1.4748197624727342
180.0,1.3153517110224806,1.4764111448006467
179.0,1.9038657960695526,1.9228539059588363
178.0,1.904192469173635,1.9229492119553664
177.0,1.9045234828041917,1.9230457996772976
176.0,2.3540931342569125,1.8632894675121987
175.0,2.354706695264894,1.8633380941735898
174.0,2.3060027547657183,1.9014355686943532
173.0,2.306571813133874,1.9014636144645278
172.0,2.307142876061214,1.9014906183040465
171.0,2.3077159270606615,1.9015165207293967
170.0,2.3082909521519204,1.901541258417973
169.0,2.0378256406482675,1.298068200066823
168.0,2.0377782036855003,1.2976938490048466
167.0,2.0125301763183634,1.1847575337354628
166.0,2.01213620753604,1.184171465809724
165.0,2.0117367674461937,1.183588426259645
164.0,2.313673087745288,1.431589810654365
163.0,2.6669299612972535,1.784266040923552
162.0,2.664342579061581,1.7808379836172943
161.0,2.6617536921054743,1.7774203577087055
160.0,2.659164825120806,1.7740118313051385
159.0,2.6993703078422375,1.6707458174270657
158.0,2.6976657075701516,1.6656135637878506
157.0,2.709464379219961,1.7226537761497556
156.0,2.707511034341457,1.7203146895306096
155.0,2.7090314691384547,1.7184971677606609
154.0,2.7178525619288108,1.747931832158439
153.0,2.3631067550744236,1.7464634305335704
152.0,2.3631800296161347,1.7476297812515313
151.0,2.3618966250130446,1.7449621296345843
150.0,2.360083134444379,1.7416475655741988
149.0,3.02112223040415,1.9411405205299186
148.0,3.2123695371287417,1.963348858599068
147.0,3.23965313172718,1.9295420624078978
146.0,2.8765779023879436,1.9048941044780774
145.0,2.812985514213788,1.9170311012233368
144.0,3.201441420958315,1.8115778018392197
143.0,3.22268041496295,1.821195943049132
142.0,3.49754321791483,3.1490529378958176
141.0,3.460964139434743,3.263199313568016
140.0,3.461586615689756,3.269861908979321
139.0,3.037068186307806,3.0082811321540075
138.0,2.830509004268569,2.065578843501143
137.0,2.986572511051892,2.592181733928673
136.0,2.852405475621158,2.6836850374871046
135.0,2.8148445617822166,2.6851479300525365
134.0,2.6894497553384733,2.379100193899314
133.0,2.689978969837016,2.3785359922983713
132.0,3.1356939369033308,2.351753378163147
131.0,3.6215979873787956,2.652713786443473
130.0,3.1407357629265236,2.6723115984881467
129.0,3.397352920142927,2.8051718880194714
128.0,3.553880946470126,2.5573496784276064
127.0,3.932641179117371,2.5897966018927963
126.0,4.005001754024536,2.4112653976223695
125.0,3.941636837501812,2.342389934484355
124.0,4.016833946844814,2.359456978234389
123.0,3.930452577194814,2.3802045757115198
122.0,3.8068462699942565,2.240588685806663
121.0,3.8071416538323666,2.236968066120945
120.0,3.7137121724076847,1.9719984755081548
119.0,3.8373046222450626,1.9319476548225152
118.0,3.829551374460319,1.9289228347058103
117.0,3.8218188595889355,1.9258502666212107
116.0,3.8140983160445012,1.9227217215739725
115.0,3.779786268023692,1.7100078099332423
114.0,3.760247717783304,1.6845660651884005
113.0,3.752491414586099,1.6814121623560037
112.0,3.744764153660929,1.6782105165871464
111.0,3.7370752351956296,1.6749469224763556
110.0,3.729431627551357,1.6716124368506213
109.0,3.741702809953456,1.6910957234469275
108.0,3.7349783726509123,1.6908469181031216
107.0,3.731000938828386,1.690590750702559
106.0,3.7243330395928544,1.6903664392153759
105.0,3.7340761957682234,1.6896935984642985
104.0,3.71758903458199,1.6887207617522444
103.0,3.7109883931839693,1.6886119768792025
102.0,3.704685835711732,1.6885293717121037
101.0,3.6981425939478094,1.6884232079425598
100.0,3.691755303219018,1.6884623360355457
99.0,3.2930128859598984,1.937119619533064
98.0,3.286526064610342,1.935436160491984
97.0,3.280067516701829,1.9337729835025161
96.0,3.2736381666780017,1.9321305380251792
95.0,3.261929186342108,1.9326953185089264
94.0,3.2039614628251925,1.9681231314056407
93.0,3.1972337985448767,1.9663553379557248
92.0,3.1914484472228257,1.9643515533652367
91.0,3.184246653353036,1.9620626082085177
90.0,3.1634315752557027,1.9256584528212186
89.0,3.896726503146485,2.199415521064649
88.0,3.8885429844218167,2.189107960503718
87.0,3.8841768138040313,2.1833398872950576
86.0,3.879235947601259,2.1787425618142606
85.0,3.844677932647313,2.157731150095969
84.0,3.7940853482431853,2.173032604168865
83.0,3.79897807900175,2.162474957975354
82.0,4.61326627611284,2.988585804654181
81.0,4.6046529110739085,2.986236490674974
80.0,4.5990909928032435,2.9865624294406206
79.0,4.132981215052805,2.6979083502935155
78.0,3.7566337265397722,2.5092477798223225
77.0,3.7595764491318238,2.4996178081834945
76.0,3.633154052216341,2.258428778551989
75.0,3.6385543053946705,1.8584876649490873
74.0,3.5562416572399833,1.8685192679525597
73.0,3.5426930885421495,1.8768368907406106
72.0,3.5561796840523474,1.9193215611025094
71.0,3.527176147483682,1.9139305486735452
70.0,3.471225653964708,2.007383526494039
69.0,3.8840836417786577,2.0426009973635884
68.0,3.9069339115939887,2.023092946968915
67.0,3.033505437385866,2.4834350635354996
66.0,2.9371450247246824,2.763290698887702
65.0,2.933952539028995,2.761973392710653
64.0,2.924303390788479,2.7532024843082548
63.0,2.8244917394351075,2.542563336005094
62.0,2.8031919589038905,2.5123001445622855
61.0,2.707477066624874,2.0888585546658773
60.0,2.855672650061894,2.128787014045831
59.0,2.641668110850741,2.0814812342888764
58.0,2.640020271438963,2.081887539643004
57.0,2.645835046174378,2.105867767065875
56.0,2.5659382482546698,2.019247571730005
55.0,2.656845329415899,2.4394705775100496
54.0,2.76110158783861,2.500936195893517
53.0,2.7622497711689826,2.5264641097749534
52.0,2.8473427037203094,2.7021712564124822
51.0,2.8022098619997293,2.6340432344294227
50.0,2.8033371902500965,2.672594196773487
49.0,2.9379537756128293,2.2170161990653185
48.0,2.920483077797496,2.13741442605108
47.0,2.3887078625701066,2.122674716357674
46.0,2.3751515455524026,2.1371192691389296
45.0,2.3507411553139326,2.0699993478187158
44.0,2.362185168215254,2.18523038258863
43.0,2.5022952245210504,2.320662214623649
42.0,2.539728622879617,2.375682588656276
41.0,2.5281896649550393,2.361058782695067
40.0,2.503894879307499,2.3276867473882126
39.0,2.5053688926066235,2.075319410606631
38.0,2.5101117666145782,2.064326334542815
37.0,2.6494808696591323,2.170779990273318
36.0,2.6484269979660526,2.1722341952821913
35.0,2.6335078369341707,2.144439498991134
34.0,2.61061615264244,2.1400243350265264
33.0,2.6359198406398057,2.2129579637491514
32.0,2.772650542942137,2.400718764752348
31.0,2.7699017447668295,2.4002022139378045
30.0,2.8546138527169385,2.4908145043002405
29.0,2.8423461231455835,2.644466618392098
28.0,2.848012453705665,2.6963051099844275
27.0,2.810986705839839,2.582673313840269
26.0,2.9036659724296943,2.538709779591534
25.0,3.022278380732499,2.7057730063868535
24.0,2.923662817268866,2.471900713098375
23.0,2.923890198228871,2.4762044684912854
22.0,2.9468803862315,2.546505458241606
21.0,2.941235610864238,2.5402974024306166
20.0,2.9339239865205657,2.524369932895776
19.0,2.8248069411536734,2.5261967589477803
18.0,2.8288257913435304,2.528952638901064
17.0,2.849675177430954,2.554985347763517
16.0,2.85947716312302,2.59044463126214
15.0,2.8383826614538634,2.5786707363453956
14.0,2.872957953474486,2.628037963229343
13.0,2.8711997336070594,2.6251185409763393
12.0,2.8600874886570793,2.5912001689177258
11.0,2.866855753285165,2.6025078969896853
10.0,2.9519115593039302,2.8270264174327138
9.0,3.247938060771082,2.3807126404614096
8.0,3.2445062280020647,2.3772499481817775
7.0,3.238271885878197,2.3703988490646677
6.0,3.2430122855458103,2.373323132866303
5.0,3.286606025172085,2.417062432504273
4.0,3.175578712138679,2.218156044108797
3.0,3.166446567545724,2.2101603715396925
2.0,3.160429709764478,2.2073008042441016
1.0,3.1653668643412454,2.2124300037253115
0.0,3.1644009755550213,2.2047486241133116
