Time (Ma),Mean plate velocities (cm/yr),Standard deviation (cm/yr)
2.800000000000000000e+01,2.848012453705664804e+00,2.696305109984427517e+00
2.900000000000000000e+01,2.842346123145583547e+00,2.644466618392097956e+00
3.000000000000000000e+01,2.854613852716938460e+00,2.490814504300240539e+00
3.100000000000000000e+01,2.769901744766829488e+00,2.400202213937804530e+00
3.200000000000000000e+01,2.772650542942137086e+00,2.400718764752348022e+00
3.300000000000000000e+01,2.635919840639805667e+00,2.212957963749151435e+00
3.400000000000000000e+01,2.610616152642439847e+00,2.140024335026526447e+00
3.500000000000000000e+01,2.633507836934170676e+00,2.144439498991133952e+00
3.600000000000000000e+01,2.648426997966052632e+00,2.172234195282191305e+00
3.700000000000000000e+01,2.649480869659132320e+00,2.170779990273318028e+00
3.800000000000000000e+01,2.510111766614578244e+00,2.064326334542815111e+00
3.900000000000000000e+01,2.505368892606623543e+00,2.075319410606630832e+00
4.000000000000000000e+01,2.503894879307499099e+00,2.327686747388212574e+00
4.100000000000000000e+01,2.528189664955039273e+00,2.361058782695066860e+00
4.200000000000000000e+01,2.539728622879616982e+00,2.375682588656276018e+00
4.300000000000000000e+01,2.502295224521050354e+00,2.320662214623649078e+00
4.400000000000000000e+01,2.362185168215253928e+00,2.185230382588629894e+00
4.500000000000000000e+01,2.350741155313932573e+00,2.069999347818715751e+00
4.600000000000000000e+01,2.375151545552402599e+00,2.137119269138929578e+00
4.700000000000000000e+01,2.388707862570106588e+00,2.122674716357674018e+00
4.800000000000000000e+01,2.920483077797495941e+00,2.137414426051079896e+00
4.900000000000000000e+01,2.937953775612829332e+00,2.217016199065318549e+00
5.000000000000000000e+01,2.803337190250096533e+00,2.672594196773486974e+00
5.100000000000000000e+01,2.802209861999729323e+00,2.634043234429422675e+00
5.200000000000000000e+01,2.847342703720309398e+00,2.702171256412482236e+00
5.300000000000000000e+01,2.762249771168982626e+00,2.526464109774953393e+00
5.400000000000000000e+01,2.761101587838609817e+00,2.500936195893516789e+00
5.500000000000000000e+01,2.656845329415899126e+00,2.439470577510049587e+00
5.600000000000000000e+01,2.565938248254669762e+00,2.019247571730005131e+00
5.700000000000000000e+01,2.645835046174378036e+00,2.105867767065875196e+00
5.800000000000000000e+01,2.640020271438963118e+00,2.081887539643004104e+00
5.900000000000000000e+01,2.641668110850741158e+00,2.081481234288876436e+00
6.000000000000000000e+01,2.855672650061893858e+00,2.128787014045831150e+00
6.100000000000000000e+01,2.707477066624873974e+00,2.088858554665877332e+00
6.200000000000000000e+01,2.803191958903890502e+00,2.512300144562285453e+00
6.300000000000000000e+01,2.824491739435107451e+00,2.542563336005093877e+00
6.400000000000000000e+01,2.924303390788479007e+00,2.753202484308254760e+00
6.500000000000000000e+01,2.933952539028994888e+00,2.761973392710653119e+00
6.600000000000000000e+01,2.937145024724682418e+00,2.763290698887701957e+00
6.700000000000000000e+01,3.033505437385866088e+00,2.483435063535499587e+00
6.800000000000000000e+01,3.906933911593988729e+00,2.023092946968914951e+00
6.900000000000000000e+01,3.884083641778657725e+00,2.042600997363588355e+00
7.000000000000000000e+01,3.471225653964708169e+00,2.007383526494038950e+00
7.100000000000000000e+01,3.527176147483682023e+00,1.913930548673545173e+00
7.200000000000000000e+01,3.556179684052347412e+00,1.919321561102509399e+00
7.300000000000000000e+01,3.542693088542149482e+00,1.876836890740610553e+00
7.400000000000000000e+01,3.556241657239983311e+00,1.868519267952559737e+00
7.500000000000000000e+01,3.638554305394670507e+00,1.858487664949087348e+00
7.600000000000000000e+01,3.633154052216340801e+00,2.258428778551988980e+00
7.700000000000000000e+01,3.759576449131823761e+00,2.499617808183494549e+00
7.800000000000000000e+01,3.756633726539772233e+00,2.509247779822322499e+00
7.900000000000000000e+01,4.132981215052804913e+00,2.697908350293515500e+00
8.000000000000000000e+01,4.599090992803243516e+00,2.986562429440620559e+00
8.100000000000000000e+01,4.604652911073908506e+00,2.986236490674973876e+00
8.200000000000000000e+01,4.613266276112839570e+00,2.988585804654181111e+00
8.300000000000000000e+01,3.798978079001749997e+00,2.162474957975354162e+00
8.400000000000000000e+01,3.794085348243185329e+00,2.173032604168864790e+00
8.500000000000000000e+01,3.844677932647313057e+00,2.157731150095969053e+00
8.600000000000000000e+01,3.879235947601258783e+00,2.178742561814260625e+00
8.700000000000000000e+01,3.884176813804031347e+00,2.183339887295057569e+00
8.800000000000000000e+01,3.888542984421816673e+00,2.189107960503717809e+00
8.900000000000000000e+01,3.896726503146485054e+00,2.199415521064648882e+00
9.000000000000000000e+01,3.163431575255702732e+00,1.925658452821218614e+00
9.100000000000000000e+01,3.184246653353036027e+00,1.962062608208517744e+00
9.200000000000000000e+01,3.191448447222825724e+00,1.964351553365236702e+00
9.300000000000000000e+01,3.197233798544876660e+00,1.966355337955724814e+00
9.400000000000000000e+01,3.203961462825192452e+00,1.968123131405640658e+00
9.500000000000000000e+01,3.261929186342107823e+00,1.932695318508926396e+00
9.600000000000000000e+01,3.273638166678001671e+00,1.932130538025179201e+00
9.700000000000000000e+01,3.280067516701829167e+00,1.933772983502516141e+00
9.800000000000000000e+01,3.286526064610341802e+00,1.935436160491984081e+00
9.900000000000000000e+01,3.293012885959898384e+00,1.937119619533063997e+00
1.000000000000000000e+02,3.691755303219018014e+00,1.688462336035545741e+00
1.010000000000000000e+02,3.698142593947809420e+00,1.688423207942559845e+00
1.020000000000000000e+02,3.704685835711731823e+00,1.688529371712103710e+00
1.030000000000000000e+02,3.710988393183969336e+00,1.688611976879202503e+00
1.040000000000000000e+02,3.717589034581989971e+00,1.688720761752244393e+00
1.050000000000000000e+02,3.734076195768223361e+00,1.689693598464298452e+00
1.060000000000000000e+02,3.724333039592854444e+00,1.690366439215375882e+00
1.070000000000000000e+02,3.731000938828386015e+00,1.690590750702559042e+00
1.080000000000000000e+02,3.734978372650912259e+00,1.690846918103121599e+00
1.090000000000000000e+02,3.741702809953455944e+00,1.691095723446927490e+00
1.100000000000000000e+02,3.729431627551357042e+00,1.671612436850621330e+00
1.110000000000000000e+02,3.737075235195629563e+00,1.674946922476355571e+00
1.120000000000000000e+02,3.744764153660928852e+00,1.678210516587146373e+00
1.130000000000000000e+02,3.752491414586098806e+00,1.681412162356003659e+00
1.140000000000000000e+02,3.760247717783304022e+00,1.684566065188400463e+00
1.150000000000000000e+02,3.779786268023692219e+00,1.710007809933242306e+00
1.160000000000000000e+02,3.814098316044501225e+00,1.922721721573972475e+00
1.170000000000000000e+02,3.821818859588935524e+00,1.925850266621210727e+00
1.180000000000000000e+02,3.829551374460319124e+00,1.928922834705810274e+00
1.190000000000000000e+02,3.837304622245062635e+00,1.931947654822515181e+00
1.200000000000000000e+02,3.713712172407684697e+00,1.971998475508154769e+00
1.210000000000000000e+02,3.807141653832366579e+00,2.236968066120944787e+00
1.220000000000000000e+02,3.806846269994256460e+00,2.240588685806662816e+00
1.230000000000000000e+02,3.930452577194814001e+00,2.380204575711519777e+00
1.240000000000000000e+02,4.016833946844814207e+00,2.359456978234388824e+00
1.250000000000000000e+02,3.941636837501811819e+00,2.342389934484355063e+00
1.260000000000000000e+02,4.005001754024536176e+00,2.411265397622369466e+00
1.270000000000000000e+02,3.932641179117370989e+00,2.589796601892796257e+00
1.280000000000000000e+02,3.553880946470126201e+00,2.557349678427606410e+00
1.290000000000000000e+02,3.397352920142926891e+00,2.805171888019471371e+00
