Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
19.0,65.72601692923553,5.278553569134159,4.48754783230725,3.471889760447406,71.06511544440637,4.6212304862889475,3.728297540443637,3.1148386487737976,29.02583826585122
20.0,61.46099960832232,5.591401545230894,4.286825902709765,3.439650782877434,71.0373270109316,5.089374353023866,3.7490206330334015,3.4861462092396245,33.52947975412378
21.0,64.05647996982685,5.824112156719491,4.5493218006140275,3.7342178070435854,69.89822993349047,5.02265227632117,3.7383731124449047,3.460678128938291,34.82236631983156
22.0,63.68783355837995,5.93035843494082,4.613048713110208,3.780478733838171,69.90337854033955,5.183219509410394,3.745861968431572,3.5712333714646984,35.264775587757285
23.0,60.31450516849657,5.7690877928773165,4.452497820759037,3.482859378524443,69.85449101615056,5.147748363189915,3.587210636965918,3.547643173222715,37.55337933817919
24.0,62.43010280242255,5.814877685619116,4.429435970411645,3.6335446420814668,69.70299556909984,5.019830580967373,3.523838445366506,3.4541205917721465,35.92170813330591
25.0,62.10601483319457,5.65666319332541,4.380585360578809,3.515792937529519,71.92380630771378,5.845197715553838,5.0427637621717745,4.041064649024396,34.551871831123485
26.0,70.87936047865767,5.968600095643508,4.334266832002638,4.234447580362888,67.49775670363401,5.923986732192629,4.444836308376221,3.81644040625917,34.05741368479088
27.0,69.69522853943407,5.751413457390768,4.23193950459615,4.012636110614622,67.8753824903041,5.432161169309393,4.174928638486215,3.5687031520487706,35.024621365539026
28.0,67.51374952025083,5.78294296166592,4.49398056117498,3.907798922785592,69.32601382676548,5.975713937839318,4.868752199385061,3.9912445663492147,34.71983381045107
29.0,69.74731038731896,5.885548378154134,4.403971938026368,4.108944716579196,70.13598085293965,5.610301713613223,4.2688760117417335,3.7904237227569033,35.33416456501436
